"Link","Photo Url","Price","Name","City"
"https://www.facebook.com/marketplace/np/item/1988932784923805/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/473277542_4149855625329721_6562117785535996537_n.jpg?stp=c0.132.1200.1200a_dst-jpg_s261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=HlCetAmUn6AQ7kNvgGwCT38&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYBOr4XiFUQS1ZSwiqCOiDU0bV-U53BBFxO59mnhl2PI6Q&oe=67876A98","160 000 лв.","Апартамент","Botevgrad"
"https://www.facebook.com/marketplace/np/item/593498473270742/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/471979813_1102814054584230_3285633625788778744_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=h1RF81soks0Q7kNvgHKvbZ_&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYDhvSoS5R78i9aMgUdmUSQWmFD8mlHHhypIN_c3v3oevQ&oe=678770D3","180 лв.","Lorelli бебешко легло 60/120см matrix new","София, България"
"https://www.facebook.com/marketplace/np/item/887233583617757/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/472942890_10162461382889726_8068780594994470641_n.jpg?stp=c120.0.720.720a_dst-jpg_s261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=454cf4&_nc_ohc=NDlzC_rT8zEQ7kNvgF3cQw_&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYDNmLj6PHk6Z9F7X6XZksOKGJqvbBvCNbzHqQXazlug3w&oe=678755EC","125 000 лв.","Продавам къща в село Миланово област София.","Своге"
"https://www.facebook.com/marketplace/np/item/1053155983143265/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/462493060_544583271650977_4453663120067514288_n.jpg?stp=c390.0.640.640a_dst-jpg_s261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=_mrZ4R-LGKMQ7kNvgEmXeSn&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYAX9xwL0nafcn_BBMT9aztMxBp_9e6Rdf7hnJ6h-BViKA&oe=67874AC2","139 500 лв.","Къща в с. Костенец","Kostenets"
"https://www.facebook.com/marketplace/np/item/1284654779634603/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/467487024_10163852459938128_1335800292906858429_n.jpg?stp=c149.0.662.662a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=WL_Q1aCQh4sQ7kNvgHa1u5z&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYDtdYahYAq4yfFOVLu5zye7NLU-_1Z1pUGdMNnVbU1mHA&oe=678758D5","128 960 лв.","Двустаен апартамент в Надежда","София, България"
"https://www.facebook.com/marketplace/np/item/1764486597701770/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/471566799_10236464624334617_1204431070326641384_n.jpg?stp=c394.0.812.812a_dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=LcghCRcfkkAQ7kNvgGlGj1h&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYD7D1FOrmIQ44bUPZqugagb7ATpgfrqXsAME3eKD_sEnw&oe=67874090","117 892 лв.","БЕЗ КОМИСИОННА!!! Маломерен тристаен в нова сграда - 117892 ЕВРО","София, България"
"https://www.facebook.com/marketplace/np/item/1245937443171575/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/472980793_3955060731417432_4299030199035764957_n.jpg?stp=c133.0.334.334a_dst-jpg_s261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=454cf4&_nc_ohc=OxC80IGoDNoQ7kNvgEVL96W&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYD4dC857VHsrokwF8XSlWKUxggYINF3PTID2NHzWfACPQ&oe=67876F9A","208 600 лв.","💎Тристаен апартамен💎","София, България"
"https://www.facebook.com/marketplace/np/item/1105586391307960/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/473207632_1130112231943633_1759992750856473118_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_ohc=JYAc1mJyCaEQ7kNvgEKBSNn&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYDWKkJfHRA_Zz8fjwwqlgmgIT0pbh_6pWIjap8okzV1Kg&oe=67876DFC","100 лв.","Холна масичка","София, България"
"https://www.facebook.com/marketplace/np/item/8917834108323890/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/473213528_1276783056883163_1997435091108095968_n.jpg?stp=c16.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=bHLI-2BZxE0Q7kNvgGdov3P&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYD77Af0JS0YJ4zGPpdWxAlQUzVEts1PhGNtRheTNlDwAw&oe=67875CF5","221 429 лв.","Кв. ""Бъкстон""! Доказан строител! Бонус покривна тераса!","София, България"
"https://www.facebook.com/marketplace/np/item/2093603431143856/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/473077592_1802677627159236_7771858225033504898_n.jpg?stp=c0.145.1162.1162a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=NOc6GAn85OIQ7kNvgFItwlK&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYBbFf9tGGQfi9FGek-S_qE9UnDYiNPJEtHMEHeh3QZVRg&oe=67876995","355 000 лв.","Многостаен апартамент кв.Лозенец!","София, България"
